Index,Positive,Pos Freq,Negative,Neg Freq,Word,Word Freq
0,effective,14409.820795545,loss,18279.670550376002,form,1027832
1,benefit,5240.581245,losses,8403.955346367,report,1027785
2,able,894.042470113,termination,5120.54046285,act,1027705
3,gains,865.70532201,against,4346.011960537,exchange,1027700
4,gain,792.010152248,default,2647.546278975,requirements,1027212
5,greater,676.8896307389999,impairment,2359.119365225,commission,1027146
6,good,628.05809292,closing,2327.520620973,section,1027058
7,beneficial,385.51723116,adverse,2169.2674343520002,ended,1026978
8,best,376.69034461499996,adversely,1738.56908934,securities,1026921
9,advances,357.682116396,failure,1192.148691124,period,1026751
10,improvements,334.81228502,disclosed,996.885004797,filed,1026269
11,exclusive,196.860314889,litigation,986.391514251,financial,1025847
12,successful,190.899117868,limitation,722.546020636,number,1025673
13,opportunities,184.1591456,restated,685.6661094359999,required,1025592
14,favorable,168.95199000000002,damages,481.67968214800004,months,1025513
15,achieve,128.0325012,terminated,475.39483651600005,reports,1025334
16,profitability,127.9288781,unable,441.69805531099996,registrant,1025092
17,success,123.3531936,restructuring,435.679043928,file,1024808
18,successfully,116.744778,terminate,432.671544672,name,1023900
19,satisfy,113.5176717,breach,424.530644692,signed,1023424
20,satisfactory,95.61973850000001,decline,414.36790687200005,subject,1022979
21,opportunity,93.04061250000001,bankruptcy,377.66742132200005,whether,1022766
22,improve,80.0740596,claims,328.52551495200004,behalf,1021697
23,satisfaction,72.34488219999999,force,320.71642596,statements,1021320
24,improvement,69.3969507,limitations,294.603558513,information,1021257
25,improved,64.0403595,unpaid,260.995465391,caused,1021215
26,positive,57.4601044,discontinued,233.07690162400002,days,1020647
27,satisfied,55.954544500000004,liquidation,229.926922498,authorized,1020605
28,enable,51.788118999999995,fraud,211.08413562,pursuant,1020368
29,strong,46.2078792,negative,190.83217617600002,item,1020304
30,achieved,44.1854676,critical,187.699254764,part,1018971
31,leading,36.403668,impaired,184.0519104,filing,1018493
32,progress,34.1445853,volatility,175.0532057,past,1017828
33,better,31.2844509,deficiencies,163.9159704,state,1017010
34,assure,31.177156800000002,weaknesses,160.793712,duly,1016627
35,enhance,29.2202435,penalties,155.3426268,undersigned,1016568
36,beneficially,28.9001982,damage,146.47927049999998,executive,1015465
37,advantage,27.7553045,misleading,145.835397,year,1014684
38,collaboration,25.3165968,concern,137.4865389,date,1014349
